specialisation,subspecialisation,name,lga,workspaceName,latitude,longitude
Asset,Fuel Terminal,McArthur River,Roper Gulf,Roper Gulf Asset Model,-15.62910843,136.3881149
Asset,Natural Gas Power Station,Katherine,Katherine,Katherine Asset Model,-14.458693,132.244506
Asset,Substation,Katherine,Katherine,Katherine Asset Model,-14.45821497,132.2454639
Asset,Fuel Depot,Katherine,Katherine,Katherine Asset Model,-14.45291138,132.2457809
Asset,Solar Farm,Lajamanu Solar Farm,Central Desert,Central Desert Asset Model,-18.32650367,130.6294897
Asset,Fossil Fuel Power Station,Timber Creek,Victoria Daly,Victoria Daly Asset Model,-15.65618096,130.4790141
Asset,Substation,Bruce,Unincorporated ACT,Unincorporated ACT Asset Model,-35.24620774,149.1086175
Asset,Substation,Latham,Unincorporated ACT,Unincorporated ACT Asset Model,-35.21512911,149.0377754
Asset,Substation,Belconnen,Unincorporated ACT,Unincorporated ACT Asset Model,-35.22916857,149.0818734
Asset,Biogas Plant,Belconnen,Unincorporated ACT,Unincorporated ACT Asset Model,-35.21418944,148.9872184
Asset,Substation,Canberra,Unincorporated ACT,Unincorporated ACT Asset Model,-35.2187855,148.996331
Asset,Biogas Plant,Mugga Lane,Unincorporated ACT,Unincorporated ACT Asset Model,-35.395304,149.14582
Asset,Substation,Queanbeyan,Unincorporated ACT,Unincorporated ACT Asset Model,-35.33983163,149.2168901
Asset,Substation,Gold Creek,Unincorporated ACT,Unincorporated ACT Asset Model,-35.17234004,149.1166917
Asset,Substation,City East,Unincorporated ACT,Unincorporated ACT Asset Model,-35.26934277,149.1502097
Asset,Community Energy Organisation,SolarShare Community Energy Ltd,Unincorporated ACT,Unincorporated ACT Asset Model,-35.27959575,149.1292822
Asset,Regional Delivery Partner,"Department of Agriculture, Fisheries and Forestry",Unincorporated ACT,Unincorporated ACT Asset Model,-35.28185644,149.1244053
